episode,global_step,post_warmup_eligible,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
110.0,33000.0,1.0,1.0,-4.761279716708716,6719.160573526759,0.028224200931290966,0.08392140242846197,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,34500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,34500.0,1.0,0.25,-4.781941062677467,6723.291922568227,0.007562854962539944,0.022486913547862586,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,34500.0,1.0,0.5,-4.774312660458976,6721.7666077044805,0.015191257181031759,0.04516883611012695,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,34500.0,1.0,0.75,-4.766615071798657,6720.2274508007495,0.022888845841350758,0.06805659425853317,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,34500.0,1.0,1.0,-4.75884680882951,6718.674153880612,0.030657108810497213,0.09115461899830785,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,36000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,36000.0,1.0,0.25,-4.782134048137913,6723.330650743522,0.007369869502094062,0.02191101312632401,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,36000.0,1.0,0.5,-4.774706899639232,6721.845718051628,0.014797018000775708,0.043992439806307806,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,36000.0,1.0,0.75,-4.767224360981111,6720.349703120611,0.022279556658896027,0.0662386629460839,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,36000.0,1.0,1.0,-4.759687250463821,6718.8427695385835,0.029816667176186584,0.08864724993779437,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,37500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,37500.0,1.0,0.25,-4.781690907653222,6723.241800452911,0.007813009986785246,0.023232245521792663,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,37500.0,1.0,0.5,-4.773820281815278,6721.6679551773195,0.01568363582472898,0.04663583091547555,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,37500.0,1.0,0.75,-4.765890576093406,6720.082293619667,0.023613341546601774,0.07021512822349726,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,37500.0,1.0,1.0,-4.757901607442844,6718.484777969345,0.03160231019716342,0.0939706997017836,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,39000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,39000.0,1.0,0.25,-4.782083196986943,6723.32020153217,0.0074207206530640946,0.02206639625956641,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
