episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,eligible
195.0,1.0,-0.9096312022450964,6392.451285645405,-0.001911914264091319,-0.005325128620398849,0.0,0.0,0.0,0.0,0.0,0.8581666666666666,1.0,0.0,0.0
150.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150.0,0.25,-0.9087246587104604,6392.310123277758,-0.0010053707294552794,-0.0031167444119590835,0.0,0.0,0.0,0.0,0.0,0.7071666666666667,1.0,0.0,0.0
150.0,0.5,-0.9094564887637704,6392.449269703473,-0.0017372007827652913,-0.005293590651734359,0.0,0.0,0.0,0.0,0.0,0.7583333333333333,1.0,0.0,0.0
150.0,0.75,-0.9097847201990747,6392.500613642936,-0.0020654322180696516,-0.00609682983650151,0.0,0.0,0.0,0.0,0.0,0.8031666666666668,1.0,0.0,0.0
150.0,1.0,-0.910088251886032,6392.541528384344,-0.002368963905026944,-0.006736911682144986,0.0,0.0,0.0,0.0,0.0,0.8256666666666668,1.0,0.0,0.0
15.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,0.25,-0.909905420221174,6392.546274309905,-0.0021861322401689476,-0.00681115829077239,0.0,0.0,0.0,0.0,0.0,0.45366666666666666,1.0,0.0,0.0
15.0,0.5,-0.9106293372473039,6392.675284632522,-0.0029100492662987865,-0.00882943245223297,0.0,0.0,0.0,0.0,0.0,0.8475,1.0,0.0,0.0
15.0,0.75,-0.9111104753084658,6392.730840073353,-0.0033911873274606874,-0.009698557561633877,0.0,0.0,0.0,0.0,0.0,0.8786666666666667,1.0,0.0,0.0
15.0,1.0,-0.9116316112147343,6392.768751745415,-0.0039123232337292535,-0.010291658536729314,0.0,0.0,0.0,0.0,0.0,0.8925000000000001,1.0,0.0,0.0
60.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,0.25,-0.9084831687235729,6392.256613348334,-0.0007638807425678351,-0.002279619864501275,0.0,0.0,0.0,0.0,0.0,0.5776666666666667,1.0,0.0,0.0
60.0,0.5,-0.9096412296998363,6392.467471197261,-0.0019219417188311994,-0.005578339994791737,0.0,0.0,0.0,0.0,0.0,0.5748333333333333,1.0,0.0,0.0
60.0,0.75,-0.9109235828341874,6392.68812860133,-0.003204294853182299,-0.00903036715149991,0.0,0.0,0.0,0.0,0.0,0.5996666666666667,1.0,0.0,0.0
60.0,1.0,-0.9123230338708379,6392.915891055299,-0.004603745889832811,-0.012593547728619925,0.0,0.0,0.0,0.0,0.0,0.6158333333333333,1.0,0.0,0.0
30.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,-0.9080602457266185,6392.175398395594,-0.00034095774561337944,-0.0010090700564306515,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,1.0,0.0,0.0
30.0,0.5,-0.9088843238086161,6392.329717160154,-0.0011650358276109607,-0.0034232766782234217,0.0,0.0,0.0,0.0,0.0,0.5990000000000001,1.0,0.0,0.0
30.0,0.75,-0.9102984512822028,6392.592285771986,-0.0025791633011976733,-0.007530974683489089,0.0,0.0,0.0,0.0,0.0,0.6128333333333333,1.0,0.0,0.0
30.0,1.0,-0.9125883791170143,6393.017639785098,-0.004869091136009196,-0.014185333782253782,0.0,0.0,0.0,0.0,0.0,0.6149999999999999,1.0,0.0,0.0
110.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110.0,0.25,-0.9084016457977975,6392.246291943709,-0.0006823578167923783,-0.0021181488764298135,0.0,0.0,0.0,0.0,0.0,0.6795,1.0,0.0,0.0
